ISO_A3,Country or region,Note,World Bank Region,"Total population, 2018","Total area, 2018",Evaluated area,Level 1 area (% of evaluated area),"Human development Index, 2017","Gross domestic product (USD per capita), 2018","Average theoretical potential (GHI, kWh/m2/day), long-term","Average practical potential (PVOUT Level 1, kWh/kWp/day), long-term","Average economic potential (LCOE, USD/kWh), 2018","Average PV seasonality index, long-term","PV equivalent area (% of total area), long-term","Cummulative installed PV capacity (MWp), 2018","Cummulative installed PV capacity (Wp per capita), 2018","Access to electricity (% of rural population), 2016","Electric power consumption (kWh per capita), 2014","Reliability of supply and transparency of tariff index, 2019","Approximate electricity Tariffs for SMEs (US cent/kWh), 2019"
SYC,Seychelles,,AFR,96762,460.0,460,0.197080291970803,0.796528658173432,16433.9352865158,5.6284,4.3476,0.098,1.221,,3.5,36.171224240921,100.0,,3.0,31.1
SYR,Syrian Arab Republic,,MENA,16906283,183630.0,183630,0.790294744933718,0.53570370082832,,5.4529,4.8542,0.0876,1.7688,0.055,1.4,0.082809450190796,100.0,974.317139133449,0.0,6.7
TCA,Turks and Caicos Islands (U.K.),,Other,37665,950.0,950,0.85207100591716,,27142.2277976902,5.5994,4.7221,0.0898,1.2254,,0.4,10.6199389353511,42.6615731425534,,,
TCD,Chad,,AFR,15477751,1259200.0,1259200,0.455457700600138,0.403970247390646,730.244607565426,6.2617,4.8374,0.088,1.3778,,0.2,0.012921773970908,2.23271715979023,,0.0,20.5
TGO,Togo,,AFR,7889094,54390.0,54390,0.980305921641124,0.503220000368368,671.840687558773,5.2179,4.1243,0.1031,1.4116,0.011,3.0,0.380271803073965,19.3940557556804,154.665237320778,3.0,17.0
THA,Thailand,,EAP,69428524,510890.0,510890,0.752829657047167,0.754683545914924,7273.56320732092,4.9348,4.0646,0.1046,1.4849,0.175,2720.2,39.1798621557906,100.0,2538.79638035364,8.0,12.6
TJK,Tajikistan,,ECA,9100837,138790.0,138790,0.359711853431858,0.650014529686563,826.621530538704,4.5133,4.3406,0.0984,2.4573,0.074,0.0,0.0,100.0,1499.48508590929,0.0,6.4
TKM,Turkmenistan,,ECA,5850908,469930.0,469930,0.363875842583706,0.706257108241312,6966.63541063077,4.7217,4.3678,0.0973,2.0853,0.025,0.0,0.0,100.0,2678.76351364206,,
TLS,Timor-Leste,,EAP,1267972,14870.0,14870,0.628581153911613,0.624944097670165,2035.53390768881,5.3165,4.3391,0.0982,1.5401,,0.6,0.47319656900941,49.2153775073931,,0.0,21.5
TON,Tonga,,EAP,103197,720.0,720,0.405281285878301,0.725644707457446,4364.01556134949,4.8045,4.0078,0.1065,1.4284,,6.2,60.0792658701319,96.56,,3.0,38.5
TTO,Trinidad and Tobago,,LCR,1389858,5130.0,5130,0.385508668629375,0.783915259601077,16843.701611713,5.3849,4.349,0.0978,1.1873,0.865,3.3,2.37434327823418,100.0,7092.93261163496,6.0,6.7
TUN,Tunisia,,MENA,11565204,155360.0,155360,0.757581165488366,0.734720097330712,3446.60723792022,5.3011,4.7445,0.0898,1.4779,0.068,47.1,4.07256110657451,100.0,1454.64228662211,6.0,9.7
TUR,Turkey,,ECA,82319724,769630.0,769630,0.787929638020853,0.790633980714653,9311.36611728167,4.5979,4.3232,0.0824,2.4065,0.23,5062.9,61.5028787025574,100.0,2847.12638262318,5.0,10.1
TUV,Tuvalu,,EAP,11508,30.0,30,0.935483870967742,,3700.71067713471,5.3376,4.2668,0.1,1.225,,,,98.5428016103924,,,
TZA,Tanzania,,AFR,56318348,885800.0,885800,0.807439973251159,0.537714740595746,1050.67525379846,5.6567,4.5067,0.0947,1.3104,0.003,25.4,0.451007547309449,16.9,103.683315765216,5.0,12.6
UGA,Uganda,,AFR,42723139,200520.0,200520,0.816059829906463,0.516320814699246,643.139670191672,5.6431,4.4616,0.0955,1.2401,,48.0,1.12351295161154,18.0,,0.0,17.1
UKR,Ukraine,,ECA,44622516,579290.0,579290,0.894402119386471,0.750709737576033,3095.17358053586,3.3505,3.2962,0.1295,4.5491,0.37,2002.7,44.8809296185809,100.0,3418.58502352461,6.0,7.1
